ITEM,PRICE
Sony a9 III (ILCE-9M3) Mirrorless Camera Body Only [PreOrder],"₱349,599.00"
"Godox GM7S 7"" 4K HDMI Camera Monitor","₱18,800.00"
Canon RF 24-105mm F2.8L IS USM Z Lens,"₱205,998.00"
Canon RF 200-800mm F6.3-9 IS USM Lens,"₱130,998.00"
Aputure Amaran 100X S-100W Ultra-High SSI Bi-Color Bowens Mount LED,"₱15,800.00"
Fotopro Carbon Fiber X-Airfly Max Video Tripod,"₱11,565.00"
Godox Grid Soft Box FS50 for FH50,"₱1,550.00"
Godox Flexible Handheld RGB LED Light FH50R,"₱13,000.00"
Godox Flexible Handheld Bi-Color LED Light FH50Bi,"₱9,990.00"
"Rode NT1000 Ultra Versatile 1"" Studio Condenser Microphone","₱17,020.00"
"Rode M5 Matched Pair Compact 1/2"" Cardioid Condenser Microphone","₱10,120.00"
Godox MS300-D Studio 3-Light Flash Kit ,"₱26,500.00"
Godox MS200-D Studio 3-Light Flash Kit ,"₱24,990.00"
Rode M3 Studio and Location Multi-Powered Condenser Microphone,"₱7,360.00"
Rode NTG-8 Shotgun Microphone ,"₱54,140.00"
Rode NTG-5 Location Recording Kit,"₱27,416.00"
Rode NTG-4+ Shotgun Mic,"₱20,700.00"
Zhiyun Crane M3S Combo,"₱20,100.00"
Zhiyun Crane M3S,"₱16,550.00"
Amaran 60X S Bi-Color LED Light,"₱11,800.00"
Panasonic HC-X20GC 4K & Full-HD Camcorder,"₱180,491.00"
